#http://cp3.irmp.ucl.ac.be/~delaere/MLP/
#r        z       Br
17.5        54.5        0.21445017666446736
19.5        54.5        0.2364172628595859
21.5        54.5        0.2578057395792815
23.5        54.5        0.25827628425964483
1.5        56.5        0.0187125639955432
3.5        56.5        0.043320399408261524
5.5        56.5        0.0682830110502141
7.5        56.5        0.09349833985608198
9.5        56.5        0.11221630709137817
11.5        56.5        0.13507146352830918
13.5        56.5        0.15800751793903797
15.5        56.5        0.1804272658162497
17.5        56.5        0.20234691961779416
19.5        56.5        0.20870907695795302
21.5        56.5        0.22735375950202277
23.5        56.5        0.24542440601739413
1.5        58.5        0.017026446470438182
3.5        58.5        0.04017570291766427
5.5        58.5        0.060931373448955974
7.5        58.5        0.0827169458423373
9.5        58.5        0.10472270094030026
11.5        58.5        0.1270381085060125
13.5        58.5        0.14872125760149144
15.5        58.5        0.15970684094923618
17.5        58.5        0.17874018430716443
19.5        58.5        0.19750032584159688
21.5        58.5        0.21580147954906567
23.5        58.5        0.23101317414344233
